Narrative,summary
"unit 1 and unit 2 were traveling north on 100 santa ursula.â  unit 1 was in a left lane, while unit 2 was on the right lane.â  as per unit 1, unit 2 completely opened the driver side door, causing unit 1 to collide into unit 2.â  as per unit 2, driver side door was ajar, not completely open to allow multiple bees that entered unit 2 to exit, and that unit 1 drove extremely close into his lane at the time of the accident.â  visible damages showed slight damage to the lower, outer edge of unit 2's driver side door, while unit 1 had visible damage to the front right quarter.â  due to conflicting stories there were no citations issued for this report.â  there was no security camera video of how the accident occurred to confirm who was at fault.note, correct model for unit 2 is atlas.â â ","Here is a concise summary of the causal information:

Unit 1 failed to maintain a safe following distance, colliding with Unit 2 after its driver's side door was partially open due to an attempt by Unit 2's driver to allow bees to exit. The partial opening of the door created a hazard that Unit 1 failed to anticipate and respond to in time."
"unit #1 was traveling westbound on w, 2ns street approaching the 4000 block.  the driver advised that the vehicle was set to automated (auto-pilot) mode.  driver advised that he reached down to grab his phone which fell and the next thing he knew was that his vehicle had left the northern edge of the roadway.  unit #1 appears to have driven over at least 2 culverts and striking a road sign causing extensive damage to the front left, front right, front windshield and rear right side of the vehicle.","The root cause was the driver's inattention while operating in automated mode, which allowed the vehicle to leave the roadway. The failure was the driver's distraction by reaching for his phone, leading to a loss of situational awareness and control of the vehicle."
"vehicle 1 was traveling west on w. north street when vehicle 1 failed to stop at stop sign. vehicle 1 struck vehicle 2, which was parked in the driver way of its residence, pushing vehicle 2 sideways at a 90 degree angle. vehicle 1 comes to rest when vehicle 1 strikes an oak tree.","Vehicle 1 failed to stop at a stop sign due to lack of attention or awareness, resulting in a collision with Vehicle 2, which was stationary and posed no hazard. The primary failure was the driver's failure to obey a traffic control device."
"unit 1 was traveling westbound in lane 1 of the 1200 block of armor ave. unit 2 was parked facing wb in front of 1215 armor ave and against the nb curbline of armor ave. unit 1 went around a vehicle traveling eastbound near 1200 armor ave. unit 1 in the process of yielding to the other vehicle due to vehicles being (legally) parked at the side of the road, collided with unit 2.no citations issued.aoi: 29.679259, -95.195272","Unit 1 failed to yield to a stationary vehicle, colliding with it because it was attempting to navigate around other vehicles parked at the side of the road while also yielding to an oncoming eastbound vehicle. The combination of parked vehicles and traffic flow led to a complex situation that Unit 1 did not adequately manage."
"driver of unit #1 stated he was exiting the infiniti dealership and crossed over the outside and into the inside lane on the ih-10 e frontage road in attempt to enter the ih-10 on ramp. it should be noted that driver of unit #1 was attempting to cross over a solid line in order to enter ih-10 east on ramp. driver of unit #2 stated she was traveling eastbound on ih-10 east frontage rd, on the inside lane which is closest to ih-10 east attempting to enter the ih-10 east on ramp as well. it should be noted that driver #2 inside lane of travel is protected by a solid line. both unit #1 and unit #2 made impact just prior to the roadway splitting onto the on ramp. both drivers pulled over to the 2nd entrance/exit road of the infiniti parking lot just past the guard rails. both drivers declined medical attention at the scene.unit #1diver: chase dupree nevels      dob:01-17-1984      phone: 512-825-4676insurance policy # 321-8281-b03-531-002 / state farmunit #2diver: america yuliana martinez dob: 05-14-2004    phone: 956-693-3916insurance policy # 519-6943-e08-53 / state farm","Driver of unit #1 attempted to cross a solid line on the IH-10 E frontage road, entering the inside lane where driver of unit #2 was already traveling, resulting in a collision. The solid line separating the lanes indicates that this behavior is prohibited by traffic laws, suggesting that driver #1 failed to comply with traffic regulations."
units #1 and #2 traveling east at the 1700 block of the north lp w service rd turning north onto the 2900 block of ella blvd. unit #1 (unk make/model/poi) failed to maintain a single lane and struck unit #2 (4-rbq-1). driver of unit #1 fsgi. officer did not make scene. diagram and narrative based on the statement of the driver of unit #2.{{investigator's assignment: northwest}},"Unit #1 failed to maintain a single lane, striking Unit #2, due to the driver losing control of their vehicle. The root cause is likely a loss of control or driver error."
"unit 3 was stopped at the 3700 block of the pasadena fwy, on the eb frontage rd, in the right turn lane. unit 2 was stoppedâ the 3700 block of the pasadena fwy, on the eb frontage rd, in the right turn lane, directly behind unit 3. unit 1 was stopped at the 3700â block of the pasadena fwy, on the eb frontage rd, in the right turn lane, directly behind unit 2. traffic started moving and all three units started traveling eb. traffic again came to a stop and unit 1 was following too close,â  failed to control their speed, and crashed into unit 2.according to unit 3, theâ initial impact pushed unit 2 and caused unit 2 to crash into unit 3. it should be noted there was no damage to unit 2 or unit 3 as a result of theâ second impact.aoi #1 was approximately 6 ft n of the scl of the 3700 block of the pasadena fwy eb frontage rd and approx. 500 ft w of the wcl of the 100 block of the e sam houston pkwy sb frontage rd.aoi #2 was approximately 6 ft n of the scl of the 3700 block of the pasadena fwy eb frontage rd and approx. 490 ft w of the wcl of the 100 block of the e sam houston pkwy sb frontage rd.","Unit 1 failed to control its speed while following too closely behind Unit 2, resulting in a collision with Unit 2 that then impacted Unit 3. The root cause was Unit 1's failure to maintain a safe following distance during changing traffic conditions."
"unit 1 was driving east at theâ 14100 n sh 45 w eb while it was raining. roads were wet. unit 1 had cruise control on vehicle set at 70mph. unit 1 hit a puddle of water on road, fishtailed and tried to overcorrect vehicle causing vehilce to rollover.","The root cause of the crash was the loss of traction due to hydroplaning on a wet road surface. The failure was the inability of the vehicle's tires to maintain contact with the road, which was exacerbated by the driver's overcorrection after encountering the puddle."
"unit #3 was traveling e/b in the #1 lane of 3400 fairmont pkwy and had stopped for an emergency vehicle entering the intersection with lights and sirens activated.unit #2 was traveling behind unit #3 and stopped.unit #1 was traveling behind unit #2, failed to control speed, and collided with unit #2 (aoi #1 : fd-bd), causing unit #2 to collide with unit #3 (aoi #2 : fd-bd).see geo coordinates for aoi.","Unit #1 failed to control its speed when approaching the stopped vehicles, resulting in a collision with Unit #2. This failure was likely due to excessive speed or inadequate braking distance."
"unit #2 was traveling w/b in the #1 lane of 5600 fairmont pkwy.unit #1 was traveling w/b in the #2 lane of 5600 fairmont pkwy.according to the driver of unit #1, she turned on her left turn signal to get into the #1 lane and did not see anyone in her rearview mirror.unit #1 made an unsafe lane change into the #1 lane, colliding with unit #2 (aoi : lbq-rfq).see geo coordinates for aoi.","The driver of unit #1 failed to check their rearview mirror and made an unsafe lane change, failing to yield to oncoming traffic in the adjacent lane. This failure was likely due to distraction or inattention while operating the vehicle."
"unit 1 was traveling north on rugged dr and unit 2 was traveling west on mcadams ave. unit 2 stopped at the stop sign, checked for oncoming traffic in both directions twice, and began driving through the intersection to continue west on mcadams ave. unit 1 was traveling at a very high rate of speed, which deprived unit 2 of the ability to yield right of way at the stop sign to unit 1. unit 1 steered to the left to avoid the collision, driving north in the southbound lanes of rugged dr where unit 2 collided front distributed to the right passenger side of unit 1. video footage of the collision from multiple angles was captured by unit 2's camera system and uploaded to evidence.com on incident #24-0052602 along with body camera footage from investigating officer.  *supplement 1 was created to add street names and magnetic north to the diagram.*","Unit 1 failed to yield right of way due to excessive speed, depriving Unit 2 of the ability to safely exit the intersection at the stop sign. The high speed of Unit 1 caused a loss of control, resulting in a collision with Unit 2."
"unit 2 was stopped in traffic at theâ 4000 block of the pasadena fwy wb frontage rd, in the #3 lane, and facing wb.â unit 1 was stopped in traffic atâ theâ 4000 block of the pasadena fwy wb frontage rd, in the #3 lane, facing wb, directly behind unit 2. traffic started to move and both units started traveling wb. traffic stopped again in front of unit 2 and as unit 2 slowed to a stop, unit 1 made an unsafe start from a stopped position, and crashed into unit 2.unit 1 advised his foot slipped off the brake and the wet roads prevented him from stopping prior to the impact.the aoi was approximately 6 ft s of the ncl of the 4000 block of the pasadena fwy wb frontage rd and approx. .25 mile e of the ecl of the 100 block of e sam houston pkwy nb frontage rd.","The driver of unit 1 failed to maintain control of his vehicle, allowing it to accelerate unexpectedly due to a loss of braking traction on wet roads. The root cause was the driver's foot slipping off the brake pedal."
unit 2 was stopped in the center lane of wb 600 fairmont pkwy at 3800 allen genoa for a red traffic signal. unit 1 was stopped facing wb directly behind unit 2. unit 1 made an improper start from a stopped position and struck unit 2 from behind. driver unit 1 claimed to have inadvertently lifted his foot of off the brake pedal. approx aoi was 25' e of the e curb of allen genoa and 17' s of the n curb of wb fairmont.,"Unit 1's failure to maintain control of their vehicle, specifically allowing the brake pedal to be lifted inadvertently, caused them to make an improper start from a stopped position. This lapse in attention resulted in unit 1 striking unit 2 from behind."
"unit #2 was traveling s/b at 3900 allen genoa rd and stopped for a vehicle making a left hand turn into a private drive.unit #1 was traveling s/b at 3900 allen genoa rd behind unit #2, failed to control speed, and collided with unit #2 (aoi : fd-bd).see geo coordinates for aoi.","Unit #1 failed to control its speed while following Unit #2, which was stopped due to another vehicle making a left turn. The failure of Unit #1 to slow down or stop in time led to the collision with Unit #2."
unit 2 was traveling e in the inside lane of eb 1700 sh 225 (main lanes). unit 1 was traveling eb directly behind unit 2. traffic was heavy. unit 2 had to slow and stop for traffic. unit 1 failed to control speed and struck unit 2 from behind. approx aoi was 200' w of the bearle street off ramp and 6' s of the n fog line of eb 1700 sh 225.,"Unit 1 failed to control its speed, resulting in a rear-end collision with Unit 2, which had stopped due to heavy traffic. The failure was caused by Unit 1's inability to adjust its speed in response to the slowing of Unit 2 ahead."
"unit 2 states that he had slowed in traffic, and come to a stop while traveling west on culebra rd. unit 2 stated that traffic began to move in front of him, and that his vehicle which had automatic cruise control began to move forward. unit 2 stated that traffic immediately slowed again, and that he had self initiated his brakes due to traffic turning off automatic cruise control. unit 2 stated that after braking, which was not sudden, unit 1 impacted his trailer hitch attached to the rear of his truck. unit 2 provided unit 1's information that he had obtained at the incident location. unit 2 filed the report with bexar county sheriff's office later in the day after the crash had occurred.","The automatic cruise control system failed to disengage when traffic slowed, causing Unit 2's vehicle to accelerate into the stopped traffic and collide with Unit 1. The system's failure to adapt to changing traffic conditions led to the collision."
unit #3 was traveling westbound in the 5600 blk w main st and was stopped due to the red light at w main st and country ln. unit #2 was stopped behind unit #3 and unit #1 was behind unit #2. unit #1 failed to control speed and impacted the rear bumper of unit #2 and pushed unit #2 into unit #3.,"Unit #1 failed to control its speed, causing it to collide with Unit #2, which then pushed Unit #3 forward. The root cause was Unit #1's excessive speed."
units 1 and 2 were traveling south on n beckley ave. unit 2 was in the middle lane waiting at the signal light of tom landry fwy. unit 1 was traveling in the left lane approaching the signal light. unit 1 driver stated that he was texting on his cell phone and did not realize that he had drifted over into the middle lane. unit 1 collided front right to the left distributed of unit 2 causing damage. photos and body worn camera footage was uploaded to evidence.com on incident #24-0063035.,"Unit 1's driver failed to maintain control of their vehicle due to distracted driving (texting while driving), resulting in a lane departure into the path of Unit 2."
"unit 1 was traveling west on singleton blvd and waiting at the red signal light of n westmoreland rd in the left lane. a dallas fire rescue ambulance was traveling with lights and sirens in the middle lane of westbound singleton blvd. unit 1 driver stated that the vehicle in front of the ambulance was not moving out of the way to allow the ambulance to get through the intersection. as a result, unit 1 entered the intersection to allow the ambulance to use the left lane to continue. unit 1 stated that as she entered the intersection on a red signal light and honking her horn to alert other vehicles. unit 1 crossed the intersection into the southbound lanes of n westmoreland rd, which was when unit 2, traveling south on n westmoreland rd with a green signal light, collided front distributed to the right passenger side of unit 1. body worn camera footage was uploaded to evidence.com on incident #24-0064002.","The vehicle in front of the ambulance failed to yield, causing the ambulance to be delayed at the intersection, which prompted Unit 1 to enter the intersection against a red light to allow the ambulance to pass. This action resulted in a collision with Unit 2, who had a green signal light and was traveling legally through the intersection."
"u1 was stopped blocking entrance/exit of private parking lot. u2 moved around u1 on right side. u1 then began moving without signalling, turned unsafely in front of u2. u2 stopped and u1 rd impacted u2 lfq. u1 fled without providing information. u2 driver obtained lp of u1 prior to u1 fleeing.","The root cause was u1's failure to signal before turning, which led to a collision with u2 due to an unsafe turn. This occurred because u1 began moving without signalling after initially blocking the entrance/exit and then changing direction unexpectedly."
unit 1 was traveling southbound in the 300 block of n mainunit 2 was traveling west bound in the 100 block of ne ave bunit 1 disregarded a red light causing unit 1's left distributed to collide with unit 2's front distributed,"Unit 1 failed to obey a traffic control device (red light), resulting in a collision due to loss of situational awareness and failure to yield. The driver's decision not to stop at the red light was likely influenced by a combination of factors, including speed and distraction."
"unit #2 was traveling w/b in the #1 lane of 2200 southmore ave approaching the intersection of 1200 burke rd on a green light.unit #1 was traveling e/b in the left turn lane of 2100 southmore ave turning n/b onto 1200 burke rd on a green yield light.unit #1 failed to yield right of way - left turn, causing unit #2 to collide with unit #1 (aoi : fr-rbq).see geo coordinates for aoi.","Unit #1 failed to yield the right-of-way while making a left turn, resulting in a collision with Unit #2. The failure was due to an error on the part of Unit #1's driver, who did not comply with the green yield light instructions."
"unit 2 was traveling sb on burke rd, at the 3300 block, in the #1 lane. unit 1 was traveling sb on burke rd, at the 3300 block, in the #2 lane. unit 1 attempted to enter the center median in order to make a u-turn on burke but unit 1 made an illegal turn, turned left from the wrong lane, and crashed into unit 2.the aoi was approximately 15 ft e of the wcl of the 3300 block of burke rd and approx. 300 ft n of the ncl of the 3900 block of woodlawn ave.","Unit 1 failed to properly execute a U-turn by making an illegal left turn from the wrong lane, resulting in a collision with Unit 2. This failure occurred due to Unit 1's attempt to make a U-turn at an unauthorized location and improper use of lanes."
"unit 3 was stopped in the left turn lane at the 700 block of vista rd, facing wb, and yielding to traffic prior to turning left. unit 2 was traveling eb on vista rd, at the 700 block, in the #1 lane. unit 1 was stopped at the stop sign at the 3500 block of westside dr and facing nb. unit 1 entered the vista rd intersection in order to continue nb upon entering the intersection unit 1â ftyrow from theâ stop sign, and caused unit 2 to crash into unit 1. after the initial impact, unit 2 continued eb and crashed into unit 3 while unit 3 was still stopped.aoi #1 was approximately 10 ft w of the ecl of the 3500 block of westside dr and approx. 15 ft n of the scl of the 700 block of vista rd.â aoi #2 was approximately 10 ft e of the ecl of the 3500 block ofâ westsideâ dr and approx. 30 ft s of the ncl of the 700 block of vista rd.","Unit 1 failed to yield to oncoming traffic, causing Unit 2 to crash into it, and then continued through the intersection, crashing into Unit 3 which was stopped in the left turn lane. This failure to yield occurred because Unit 1 entered the intersection too soon from the stop sign at Westside Dr."
unit 2 was traveling s in the right lane of sb 4000 preston just s of 4700 fairmont pkwy. unit 1 was traveling sb directly behind unit 2. unit 2 slowed and began to turn right (wb) into a private drive along the w curb. unit 1 failed to control speed and struck unit 2 from behind. driver unit 1 had been distracted by learning that her child was ill at school. passenger unit 2 was an uber customer and left the scene prior to police arrival. approx aoi was 170` s of the s curb of fairmont pkwy and 6` e of the w curb of 4000 preston.,"The root cause of the crash was driver unit 1's distraction while driving, which led to her failure to control speed. The distraction occurred because she learned that her child was ill at school, causing her to lose focus on the road."
unit 1 yielded at the 200 block of north almond. unit 2 was traveling eastbound at the 600 block of east third street. unit 1 began crossing southbound through the intersection of north almond and third street and struck unit 2. unit 1 had damage to the paseenger side of the vehicle and unit 2 had damage to the front bumper. airbags were deployed to both vehicles and danny's wrecker picked up both vehicles. unit 1 driver was cited for fail to yield right of way to vehicle in intersection.,"Unit 1 failed to yield the right-of-way at the intersection, colliding with Unit 2 as it crossed through the intersection from a non-negated traffic signal or stop sign. The failure to yield was likely due to Unit 1's driver not properly observing or responding to the presence of Unit 2 in the intersection."
"unit #2 was traveling w/b in the #1 lane of 100 harris ave waiting at the green light of 900 shaver st for traffic to clear to turn s/b.unit #1 was traveling w/b in the #1 lane of 100 harris ave behind unit #2, stated that she looked down after she saw that the light was green, failed to control speed and collided with unit #2 (aoi : fd-bd).see geo coordinates for aoi.","Unit #1 failed to maintain control of her vehicle due to distracted driving when she looked away from the road. This failure occurred because she took her eyes off the road while checking the traffic light status, resulting in a loss of situational awareness and inability to adjust speed accordingly."
unit 1 was eb 6200 farimont pkwy in the inside lane when a no contact vehicle making a u-turn came into his lane and unit 1 made a evasive lane change into the center lane of traffic.â  unit 2 was eb 6200 fairmont pkwy and according to the unit 2 driver she was in the middle lane but according to the driver of unit 1 she was in the outside lane and made a lane change into the middle lane.â  i was unable to dertemine who occupied the middle lane first or if both units made an unsafe lane change.approx. aoi:â  40 ft e of ecl 4000 space center blvdâ  â  â  â  â  â  â  â  â  â  â  â  13 ft s of ncl 6200 fairmont pkwy eb,"A vehicle making a U-turn entered the inside lane, prompting Unit 1 to make an evasive lane change into the center lane. The presence of another vehicle (Unit 2) in the middle lane is disputed, but it is clear that one or both vehicles made unsafe lane changes."
"unit 2 was stopped at the red light at the 4600 block of spencer hwy, in the #1 lane, and facing eb. unit 1 was traveling eb on spencer hwy, at the 4600 block, in the #1 lane. unit 1 was following too close and admitted to taking their eyes off the road for a moment and unit 1 crashed into unit 2.the aoi was approximately 30 ft n of the scl of the 4600 block of spencer hwy and approx. 250 ft w of the wcl of the 3000 block of preston rd.","Unit 1 failed to maintain a safe following distance, resulting in a loss of situational awareness when they took their eyes off the road for a moment, leading to a collision with Unit 2. The failure was due to driver distraction and inadequate attention to driving responsibilities."
"i arrived to location to see both u1 and u2 parked on a side street of the access road accident occurred. i spoke with both u1 and u2 and asked if ems was needed for them or occupants. both u1 and u2 stated no injuries were sustained from the collision. at this time, i spoke with u1 who stated she was traveling nb taking the side turn lane to  enter the access road from babcock rd, when veering left to get to the on ramp of loop 410 she changed lanes and that u2 hit her. once i spoke with u2  he immediately stated he had video of the accident. u2 invited me into his personal vehicle via passenger side to see on tesla screen the front camera footage showing u2 stopped at a red traffic control light sb on babcock. while utilizing the traffic control light u2 awaited a green arrow to turn eb to loop 410 access rd where he was driving in lane one when u1  improperly changed lanes causing her to collide with the left rear quarter panel of u2 with u1's right front quarter panel. footage was clear and captured in full. body worn camera available to show collision.","The root cause of the crash was U1's improper lane change, which caused a collision with U2's vehicle while he was stopped at a red traffic control light. The failure that occurred was U1's failure to maintain her position in the left turn lane, leading to a loss of situational awareness and control."
unit #1  in lane 6 and unit #2 in lane 7  was traeling west at 9600 katy fwy.unit #2 attemped to make a right turn into a private drive.unit # 1 11- lfq-1 struck unit #2 3-rp-1.unit #2 turned when unsafe.no citations issued due to minor damage (both vehicle drivible).{{investigator's assignment: northwest}},"Unit #2 failed to yield to oncoming traffic while attempting a right turn, resulting in collision with Unit #1. This failure was caused by unit #2 turning when it was unsafe to do so."
unit 2 was traveling east bound on the main lanes of ne 410 eb. unit 2 driver slowed down due to traffic build up. unit 1 struck unit 2 in the rear causing minor damages. unit 1 failed to exchange information with unit 2 and left the scene. no injuries were reported.,"Unit 1 failed to maintain a safe following distance, resulting in a collision with Unit 2 after it slowed down due to traffic congestion. This failure was likely due to Unit 1's driver being distracted or not paying adequate attention to the road conditions."
unit #1 was traveling westbound on ih-10 and hit ice on the roadway prior to passing the 539 off ramp. unit #1 stated he hit the wire barrier with his front end and managed to get onto the opposite side of the roadway (outer lane) shoulder to await a tow truck.,"The vehicle's tires lost traction due to ice on the roadway, causing the driver to lose control and collide with the wire barrier. The presence of ice was likely due to inadequate winter maintenance or insufficient warning measures for hazardous road conditions."
"unit two was stopped at the red light, sb preston ave at fairmont pkwy, lane four. unit one was stopped behind unit two. unit one made an unsafe start from a stopped position, colliding with unit two. unit one failed to stop and give information, see 24-000953.â see gps coordinates for approximate poi.","Unit one made an unsafe start from a stopped position, failing to come to a complete stop before accelerating into the rear of unit two. This failure was likely due to inattention or distraction on the part of the driver of unit one."
"unit 2 was traveling on the sb frontage rd of the e sam houston pkwy, at the 5100 block, in the #1 lane,â  and had just cleared the preston rd intersection. unit 1 was stopped in traffic on the sb frontage rd of the e sam houston pkwy, at the 5100 block, in the #2 lane. unit 1 attempted to change lanes and enter the #1 lane. unit 1 made an unsafe lane change, partially entered the sb #1 lane, and crashed into unit 2.the aoi was approximately 22 ft e of the wcl of the 5100 block of the e sam houston pkwy sb frontage rd and approx. 30 ft s of the scl of the 5100 block of preston rd.","Unit 1 made an unsafe lane change, partially entering the #1 lane, resulting in a collision with Unit 2 because Unit 1 failed to check for oncoming traffic before changing lanes. The failure was due to inadequate situational awareness and attention to safe driving practices."
"unit #2 was traveling e/b in the left turn lane of 2700 pasadena blvd.unit #1 was traveling e/b in the #1 lane of 2700 pasadena blvd and made an unsafe lane change into the left turn lane, colliding with unit #2 (aoi : lfq-rfq).see geo coordinates for aoi.","Unit #1 made an unsafe lane change into the left turn lane, colliding with Unit #2 due to driver error. The left turn lane was compromised by Unit #1's unauthorized entry from the adjacent lane."
unit 2 was nb 600 pasadena blvd in the outside lane.â  unit 1 was nb 600 pasadena blvd in the inside lane and made an unsafe lane change into the outside lane and struck unit 2.approx aoi:â  20 ft s of scl 900 seymoreâ  â  â  â  â  â  â  â  â  â  â  â 11 ft w of ecl 600 pasadena blvd,"Unit 1 made an unsafe lane change into the outside lane, striking Unit 2. The driver of Unit 1 failed to exercise proper control and judgment while changing lanes."
"unit #1 was traveling w/b in the #1 lane of 5900 spencer hwy behind unit #2.according to the driver of unit #1, unit #2 stopped suddenly at the green light of 3000 sinclair st causing unit #1 to collide with unit #2 (aoi : fr-bl).according to the driver of unit #2, the light had turned red so unit #2 stopped at the red light at the intersection of 3000 sinclair st when unit #1 collided with unit #2 (aoi : fr-bl).fault could not be determined due to no independant witnesses on scene.see geo coordinates for aoi.","Unit #1 failed to stop in time, colliding with Unit #2 at the intersection of 3000 Sinclair St because it was traveling too close behind Unit #2 and did not have sufficient time to react to Unit #2's sudden stop. The root cause is likely a following distance issue or failure to maintain a safe speed."
unit 1 was sb on ih 35w traveling at an unsafe speed for the wet road conditions. unit 1 hydroplaned to the left off of the roadway striking a cable barrier with its fd and rbq coming to rest.,"The root cause of the crash was excessive speed for the given road conditions, which led to hydroplaning. The vehicle's tires lost traction on the wet surface, causing it to veer off the road and strike a cable barrier."
unit 1/2 was traveling south bound on the 410 s on ramp. unit 1 front right tire popped causing unit 1/2 to lose control and collide with the concrete median. no injuries were reported. unit 1/2 was not drive able and was towed away.,"The root cause of the crash was a blown front right tire, which caused the vehicle to lose control and collide with the median. The tire failure likely occurred due to underinflation or other pre-existing damage that compromised its integrity."
"unit 1 was driving nb across the u-turn at 4100 fairmont pkwy when she failed to yield right of way from a private drive. unit 2 was traveling wb in lane 2 of the 4100 fairmont pkwy when it collided with unit 1.unit 1 driver cited for fty-row from private drive under citation #e1511701.aoi: 29.651014, -95.181700","Unit 1 failed to yield right of way from a private drive, colliding with Unit 2 traveling in the adjacent lane. The failure to yield was due to a violation of traffic laws by Unit 1's driver."
"unit 1 was traveling southbound in lane 1 (eb turn lane only) of the 100 block of beltway 8 hwy sb frontrage rd. unit 2 was also traveling southbound but in lane 2 (eb turn lane and straight lane) of the 100 block of beltway 8 hwy sb frontrage rd. unit 1 made an unsafe lane change from lane 1 and on to lane 2 and collided with unit 2.unit 1 driver cited for fail to establish financial responsibility under citation # e1511702.aoi: 29.712122, -95.153793","Unit 1 made an unsafe lane change from the eastbound turn lane (lane 1) into a shared lane (lane 2), colliding with Unit 2. The root cause was Unit 1's failure to properly assess and execute a safe lane change, likely due to inattention or distraction."
